ds,call_center,target
2019-06-05,Call center 1,3730.0
2019-06-05,Call center 2,21683.0
2019-06-05,Call center 3,0.0
2019-06-06,Call center 1,4638.0
2019-06-06,Call center 2,21864.0
2019-06-07,Call center 1,4068.0
2019-06-07,Call center 2,20639.0
2019-06-08,Call center 1,12501.0
2019-06-08,Call center 2,40.0
2019-06-09,Call center 1,21.0
2019-06-11,Call center 3,2.0
2019-06-11,Call center 1,3539.0
2019-06-11,Call center 2,31634.0
2019-06-12,Call center 1,133.0
2019-06-12,Call center 2,30069.0
2019-06-13,Call center 1,1451.0
2019-06-13,Call center 2,23557.0
2019-06-14,Call center 2,18184.0
2019-06-14,Call center 1,5063.0
2019-06-15,Call center 2,23.0
2019-06-15,Call center 1,12827.0
2019-06-15,Call center 3,0.0
2019-06-16,Call center 1,23.0
2019-06-17,Call center 3,0.0
2019-06-17,Call center 1,8239.0
2019-06-17,Call center 2,21262.0
2019-06-18,Call center 3,0.0
2019-06-18,Call center 1,1350.0
2019-06-18,Call center 2,22294.0
2019-06-19,Call center 3,0.0
2019-06-19,Call center 1,9117.0
2019-06-19,Call center 2,18031.0
2019-06-20,Call center 1,3722.0
2019-06-20,Call center 2,22349.0
2019-06-21,Call center 1,2375.0
2019-06-21,Call center 2,19760.0
2019-06-22,Call center 2,29.0
2019-06-22,Call center 1,11332.0
2019-06-23,Call center 1,18.0
2019-06-24,Call center 3,0.0
2019-06-24,Call center 1,4024.0
2019-06-24,Call center 2,22747.0
2019-06-25,Call center 1,3616.0
2019-06-25,Call center 2,19764.0
2019-06-26,Call center 3,0.0
2019-06-26,Call center 1,3725.0
2019-06-26,Call center 2,20501.0
2019-06-27,Call center 3,0.0
2019-06-27,Call center 1,5635.0
2019-06-27,Call center 2,19084.0
2019-06-28,Call center 1,4432.0
2019-06-28,Call center 2,18986.0
2019-06-29,Call center 1,12222.0
2019-06-29,Call center 2,55.0
2019-06-29,Call center 3,0.0
2019-06-30,Call center 3,0.0
2019-06-30,Call center 1,18.0
2019-07-01,Call center 3,0.0
2019-07-01,Call center 1,8120.0
2019-07-01,Call center 2,24049.0
2019-07-02,Call center 1,8698.0
2019-07-02,Call center 2,18591.0
2019-07-03,Call center 2,21609.0
2019-07-03,Call center 1,5047.0
2019-07-04,Call center 3,0.0
2019-07-04,Call center 1,6347.0
2019-07-04,Call center 2,18471.0
2019-07-05,Call center 3,0.0
2019-07-05,Call center 1,7969.0
2019-07-05,Call center 2,15706.0
2019-07-06,Call center 2,49.0
2019-07-06,Call center 1,13199.0
2019-07-07,Call center 1,16.0
2019-07-08,Call center 1,11287.0
2019-07-08,Call center 2,23100.0
2019-07-09,Call center 1,4717.0
2019-07-09,Call center 2,23858.0
2019-07-10,Call center 3,0.0
2019-07-10,Call center 1,9342.0
2019-07-10,Call center 2,17433.0
2019-07-11,Call center 1,8284.0
2019-07-11,Call center 2,15392.0
2019-07-12,Call center 1,3157.0
2019-07-12,Call center 2,20657.0
2019-07-13,Call center 3,0.0
2019-07-13,Call center 1,11983.0
2019-07-13,Call center 2,47.0
2019-07-14,Call center 1,16.0
2019-07-15,Call center 2,20592.0
2019-07-15,Call center 3,0.0
2019-07-15,Call center 1,7538.0
2019-07-16,Call center 1,3416.0
2019-07-16,Call center 2,21940.0
2019-07-17,Call center 1,5763.0
2019-07-17,Call center 2,17934.0
2019-07-18,Call center 1,1251.0
2019-07-18,Call center 2,20268.0
2019-07-19,Call center 1,2862.0
2019-07-19,Call center 2,18201.0
2019-07-20,Call center 1,11047.0
2019-07-20,Call center 2,24.0
2019-07-21,Call center 1,17.0
2019-07-22,Call center 1,7705.0
2019-07-22,Call center 2,19587.0
2019-07-23,Call center 1,7472.0
2019-07-23,Call center 2,14515.0
2019-07-23,Call center 3,0.0
2019-07-24,Call center 1,4947.0
2019-07-24,Call center 2,17655.0
2019-07-25,Call center 1,4704.0
2019-07-25,Call center 2,14298.0
2019-07-26,Call center 1,7136.0
2019-07-26,Call center 2,13538.0
2019-07-27,Call center 1,12617.0
2019-07-27,Call center 3,0.0
2019-07-27,Call center 2,12.0
2019-07-28,Call center 1,19.0
2019-07-29,Call center 1,11089.0
2019-07-29,Call center 2,18354.0
2019-07-30,Call center 1,8918.0
2019-07-30,Call center 2,16484.0
2019-07-30,Call center 3,0.0
2019-07-31,Call center 2,21488.0
2019-07-31,Call center 1,4061.0
2019-08-01,Call center 1,8344.0
2019-08-01,Call center 2,16336.0
2019-08-02,Call center 1,8020.0
2019-08-02,Call center 2,13822.0
2019-08-03,Call center 1,11115.0
2019-08-03,Call center 2,25.0
2019-08-04,Call center 1,13.0
2019-08-05,Call center 3,0.0
2019-08-05,Call center 1,11136.0
2019-08-05,Call center 2,17359.0
2019-08-06,Call center 1,7829.0
2019-08-06,Call center 2,15859.0
2019-08-07,Call center 1,8796.0
2019-08-07,Call center 2,16167.0
2019-08-08,Call center 2,13956.0
2019-08-08,Call center 3,1.0
2019-08-08,Call center 1,7816.0
2019-08-09,Call center 1,7134.0
2019-08-09,Call center 2,13040.0
2019-08-10,Call center 1,12037.0
2019-08-10,Call center 2,36.0
2019-08-11,Call center 1,21.0
2019-08-12,Call center 3,0.0
2019-08-12,Call center 1,12008.0
2019-08-12,Call center 2,18450.0
2019-08-13,Call center 1,7536.0
2019-08-13,Call center 2,15278.0
2019-08-14,Call center 1,7478.0
2019-08-14,Call center 2,12548.0
2019-08-15,Call center 2,40.0
2019-08-15,Call center 1,1.0
2019-08-16,Call center 2,16405.0
2019-08-16,Call center 3,1.0
2019-08-16,Call center 1,10848.0
2019-08-17,Call center 1,12574.0
2019-08-17,Call center 2,51.0
2019-08-18,Call center 1,8.0
2019-08-19,Call center 3,0.0
2019-08-19,Call center 1,12463.0
2019-08-19,Call center 2,20825.0
2019-08-20,Call center 1,8600.0
2019-08-20,Call center 2,15383.0
2019-08-21,Call center 1,8160.0
2019-08-21,Call center 2,15211.0
2019-08-22,Call center 3,1.0
2019-08-22,Call center 1,7793.0
2019-08-22,Call center 2,13956.0
2019-08-23,Call center 1,7210.0
2019-08-23,Call center 2,13493.0
2019-08-23,Call center 3,0.0
2019-08-24,Call center 1,11426.0
2019-08-24,Call center 2,40.0
2019-08-25,Call center 1,12.0
2019-08-26,Call center 3,0.0
2019-08-26,Call center 1,10226.0
2019-08-26,Call center 2,18698.0
2019-08-27,Call center 2,17102.0
2019-08-27,Call center 1,8412.0
2019-08-28,Call center 3,0.0
2019-08-28,Call center 1,8466.0
2019-08-28,Call center 2,15622.0
2019-08-29,Call center 1,9715.0
2019-08-29,Call center 2,19869.0
2019-08-30,Call center 2,15025.0
2019-08-30,Call center 1,7599.0
2019-08-31,Call center 2,37.0
2019-08-31,Call center 3,0.0
2019-08-31,Call center 1,13091.0
2019-09-01,Call center 1,13.0
2019-09-02,Call center 3,0.0
2019-09-02,Call center 1,12072.0
2019-09-02,Call center 2,20184.0
2019-09-03,Call center 1,8742.0
2019-09-03,Call center 2,16653.0
2019-09-04,Call center 3,0.0
2019-09-04,Call center 1,8939.0
2019-09-04,Call center 2,18042.0
2019-09-05,Call center 3,0.0
2019-09-05,Call center 1,8675.0
2019-09-05,Call center 2,16220.0
2019-09-06,Call center 1,8997.0
2019-09-06,Call center 2,16299.0
2019-09-07,Call center 2,60.0
2019-09-07,Call center 3,0.0
2019-09-07,Call center 1,13969.0
2019-09-08,Call center 1,30.0
2019-09-09,Call center 3,0.0
2019-09-09,Call center 1,11705.0
2019-09-09,Call center 2,19165.0
2019-09-10,Call center 1,8671.0
2019-09-10,Call center 2,16315.0
2019-09-11,Call center 1,8685.0
2019-09-11,Call center 3,0.0
2019-09-11,Call center 2,16992.0
2019-09-12,Call center 2,14528.0
2019-09-12,Call center 1,8094.0
2019-09-13,Call center 2,16350.0
2019-09-13,Call center 1,5435.0
2019-09-13,Call center 3,0.0
2019-09-14,Call center 3,0.0
2019-09-14,Call center 1,12780.0
2019-09-14,Call center 2,22.0
2019-09-15,Call center 1,18.0
2019-09-16,Call center 1,11469.0
2019-09-16,Call center 2,19457.0
2019-09-17,Call center 1,8809.0
2019-09-17,Call center 2,16509.0
2019-09-18,Call center 1,9349.0
2019-09-18,Call center 2,17716.0
2019-09-19,Call center 3,0.0
2019-09-19,Call center 1,6102.0
2019-09-19,Call center 2,18335.0
2019-09-20,Call center 2,15296.0
2019-09-20,Call center 1,7587.0
2019-09-21,Call center 3,0.0
2019-09-21,Call center 1,11961.0
2019-09-21,Call center 2,26.0
2019-09-22,Call center 1,15.0
2019-09-23,Call center 1,8394.0
2019-09-23,Call center 2,24043.0
2019-09-24,Call center 1,6455.0
2019-09-24,Call center 2,21511.0
2019-09-25,Call center 1,10200.0
2019-09-25,Call center 2,21192.0
2019-09-26,Call center 3,0.0
2019-09-26,Call center 1,7383.0
2019-09-26,Call center 2,21609.0
2019-09-27,Call center 1,9298.0
2019-09-27,Call center 2,18848.0
2019-09-28,Call center 2,48.0
2019-09-28,Call center 1,15288.0
2019-09-29,Call center 1,14.0
2019-09-30,Call center 1,13030.0
2019-09-30,Call center 2,24202.0
2019-10-01,Call center 1,9976.0
2019-10-01,Call center 2,18370.0
2019-10-02,Call center 1,10154.0
2019-10-02,Call center 2,20455.0
2019-10-02,Call center 3,0.0
2019-10-03,Call center 1,8829.0
2019-10-03,Call center 2,15683.0
2019-10-04,Call center 1,8618.0
2019-10-04,Call center 2,17167.0
2019-10-05,Call center 1,15501.0
2019-10-05,Call center 2,71.0
2019-10-06,Call center 1,16.0
2019-10-07,Call center 2,22138.0
2019-10-07,Call center 1,7619.0
2019-10-08,Call center 1,8255.0
2019-10-08,Call center 2,16253.0
2019-10-09,Call center 1,8380.0
2019-10-09,Call center 2,17802.0
2019-10-10,Call center 1,8254.0
2019-10-10,Call center 2,15860.0
2019-10-11,Call center 1,8577.0
2019-10-11,Call center 2,15369.0
2019-10-12,Call center 3,0.0
2019-10-12,Call center 1,12682.0
2019-10-12,Call center 2,44.0
2019-10-13,Call center 1,21.0
2019-10-14,Call center 1,10603.0
2019-10-14,Call center 3,1.0
2019-10-14,Call center 2,19795.0
2019-10-15,Call center 2,75.0
2019-10-15,Call center 1,27268.0
2019-10-16,Call center 2,18531.0
2019-10-16,Call center 3,0.0
2019-10-16,Call center 1,8503.0
2019-10-17,Call center 3,0.0
2019-10-17,Call center 1,8832.0
2019-10-17,Call center 2,16401.0
2019-10-18,Call center 3,1.0
2019-10-18,Call center 1,8754.0
2019-10-18,Call center 2,17237.0
2019-10-19,Call center 1,15852.0
2019-10-19,Call center 2,54.0
2019-10-20,Call center 1,22.0
2019-10-21,Call center 3,0.0
2019-10-21,Call center 1,10764.0
2019-10-21,Call center 2,20548.0
2019-10-22,Call center 1,8200.0
2019-10-22,Call center 2,16872.0
2019-10-23,Call center 2,17691.0
2019-10-23,Call center 1,8390.0
2019-10-24,Call center 1,7587.0
2019-10-24,Call center 2,16243.0
2019-10-25,Call center 3,0.0
2019-10-25,Call center 1,8194.0
2019-10-25,Call center 2,15543.0
2019-10-26,Call center 2,40.0
2019-10-26,Call center 3,0.0
2019-10-26,Call center 1,13354.0
2019-10-27,Call center 1,12.0
2019-10-28,Call center 3,0.0
2019-10-28,Call center 1,9272.0
2019-10-28,Call center 2,21286.0
2019-10-29,Call center 1,6924.0
2019-10-29,Call center 2,19513.0
2019-10-29,Call center 3,0.0
2019-10-30,Call center 2,19678.0
2019-10-30,Call center 1,6639.0
2019-10-30,Call center 3,0.0
2019-10-31,Call center 1,7305.0
2019-10-31,Call center 2,22704.0
2019-11-01,Call center 1,0.0
2019-11-01,Call center 2,8.0
2019-11-02,Call center 3,2.0
2019-11-02,Call center 1,15534.0
2019-11-03,Call center 3,2.0
2019-11-04,Call center 2,29905.0
2019-11-04,Call center 1,10582.0
2019-11-05,Call center 3,0.0
2019-11-05,Call center 1,9197.0
2019-11-05,Call center 2,26824.0
2019-11-06,Call center 3,1.0
2019-11-06,Call center 1,9083.0
2019-11-06,Call center 2,26494.0
2019-11-07,Call center 2,23757.0
2019-11-07,Call center 1,8465.0
2019-11-08,Call center 1,7615.0
2019-11-08,Call center 2,21975.0
2019-11-09,Call center 3,1.0
2019-11-09,Call center 1,16249.0
2019-11-09,Call center 2,15.0
2019-11-10,Call center 3,1.0
2019-11-10,Call center 1,2.0
2019-11-12,Call center 3,1.0
2019-11-12,Call center 1,10612.0
2019-11-12,Call center 2,27963.0
2019-11-13,Call center 3,1.0
2019-11-13,Call center 1,8327.0
2019-11-13,Call center 2,22441.0
2019-11-14,Call center 1,7043.0
2019-11-14,Call center 2,20469.0
2019-11-15,Call center 2,18602.0
2019-11-15,Call center 1,6457.0
2019-11-16,Call center 3,0.0
2019-11-16,Call center 1,16782.0
2019-11-16,Call center 2,11.0
2019-11-17,Call center 1,4.0
2019-11-18,Call center 1,8320.0
2019-11-18,Call center 2,21454.0
2019-11-19,Call center 3,1.0
2019-11-19,Call center 1,5939.0
2019-11-19,Call center 2,18046.0
2019-11-20,Call center 1,6608.0
2019-11-20,Call center 2,19985.0
2019-11-21,Call center 1,6566.0
2019-11-21,Call center 2,18695.0
2019-11-22,Call center 1,6307.0
2019-11-22,Call center 2,18418.0
2019-11-22,Call center 3,1.0
2019-11-23,Call center 1,15353.0
2019-11-23,Call center 2,11.0
2019-11-24,Call center 1,7.0
2019-11-25,Call center 3,0.0
2019-11-25,Call center 1,8325.0
2019-11-25,Call center 2,21989.0
2019-11-26,Call center 1,6198.0
2019-11-26,Call center 2,19231.0
2019-11-27,Call center 1,6645.0
2019-11-27,Call center 2,21264.0
2019-11-28,Call center 1,6424.0
2019-11-28,Call center 2,18881.0
2019-11-29,Call center 2,19483.0
2019-11-29,Call center 1,6022.0
2019-11-30,Call center 1,16532.0
2019-12-01,Call center 1,11.0
2019-12-02,Call center 3,0.0
2019-12-02,Call center 1,8521.0
2019-12-02,Call center 2,22555.0
2019-12-03,Call center 1,6676.0
2019-12-03,Call center 2,19313.0
2019-12-04,Call center 1,7003.0
2019-12-04,Call center 2,20919.0
2019-12-05,Call center 2,14484.0
2019-12-05,Call center 1,6136.0
2019-12-06,Call center 1,6534.0
2019-12-06,Call center 2,19612.0
2019-12-07,Call center 3,0.0
2019-12-07,Call center 1,15104.0
2019-12-08,Call center 1,141.0
2019-12-09,Call center 2,22779.0
2019-12-09,Call center 1,8741.0
2019-12-10,Call center 2,21771.0
2019-12-10,Call center 1,3551.0
2019-12-11,Call center 1,6797.0
2019-12-11,Call center 2,20863.0
2019-12-12,Call center 1,6572.0
2019-12-12,Call center 2,18689.0
2019-12-13,Call center 1,5548.0
2019-12-13,Call center 2,17349.0
2019-12-14,Call center 3,0.0
2019-12-14,Call center 1,14531.0
2019-12-14,Call center 2,8.0
2019-12-15,Call center 3,1.0
2019-12-15,Call center 1,2.0
2019-12-16,Call center 3,1.0
2019-12-16,Call center 1,7660.0
2019-12-16,Call center 2,21089.0
2019-12-17,Call center 2,18763.0
2019-12-17,Call center 1,5851.0
2019-12-18,Call center 1,6252.0
2019-12-18,Call center 2,19254.0
2019-12-19,Call center 1,3477.0
2019-12-19,Call center 2,20034.0
2019-12-20,Call center 1,4807.0
2019-12-20,Call center 2,16635.0
2019-12-21,Call center 3,1.0
2019-12-21,Call center 1,13581.0
2019-12-22,Call center 1,3.0
2019-12-22,Call center 3,1.0
2019-12-23,Call center 1,6993.0
2019-12-23,Call center 2,17572.0
2019-12-24,Call center 1,3569.0
2019-12-24,Call center 2,8732.0
2019-12-25,Call center 3,1.0
2019-12-25,Call center 1,63.0
2019-12-26,Call center 2,19465.0
2019-12-26,Call center 3,1.0
2019-12-26,Call center 1,6466.0
2019-12-27,Call center 3,0.0
2019-12-27,Call center 1,5548.0
2019-12-27,Call center 2,19851.0
2019-12-28,Call center 3,0.0
2019-12-28,Call center 1,14092.0
2019-12-29,Call center 1,2.0
2019-12-30,Call center 1,8318.0
2019-12-30,Call center 2,22788.0
2019-12-31,Call center 1,4850.0
2019-12-31,Call center 2,11794.0
2020-01-02,Call center 1,6870.0
2020-01-02,Call center 2,26103.0
2020-01-03,Call center 2,22037.0
2020-01-03,Call center 1,6207.0
2020-01-04,Call center 2,12.0
2020-01-04,Call center 1,14098.0
2020-01-05,Call center 1,9.0
2020-01-06,Call center 1,8932.0
2020-01-06,Call center 2,24923.0
2020-01-07,Call center 1,7061.0
2020-01-07,Call center 2,21965.0
2020-01-08,Call center 1,6920.0
2020-01-08,Call center 2,21633.0
2020-01-09,Call center 1,6020.0
2020-01-09,Call center 2,18865.0
2020-01-10,Call center 3,0.0
2020-01-10,Call center 1,5937.0
2020-01-10,Call center 2,19113.0
2020-01-11,Call center 1,14871.0
2020-01-12,Call center 1,6.0
2020-01-13,Call center 2,22865.0
2020-01-13,Call center 1,8330.0
2020-01-14,Call center 1,6119.0
2020-01-14,Call center 2,20165.0
2020-01-15,Call center 1,6869.0
2020-01-15,Call center 2,21450.0
2020-01-16,Call center 3,1.0
2020-01-16,Call center 1,6292.0
2020-01-16,Call center 2,18563.0
2020-01-17,Call center 1,5575.0
2020-01-17,Call center 2,18462.0
2020-01-18,Call center 1,14044.0
2020-01-19,Call center 1,5.0
2020-01-20,Call center 1,8296.0
2020-01-20,Call center 2,22106.0
2020-01-21,Call center 2,18066.0
2020-01-21,Call center 1,6267.0
2020-01-22,Call center 2,18734.0
2020-01-22,Call center 3,1.0
2020-01-22,Call center 1,6211.0
2020-01-23,Call center 1,3032.0
2020-01-23,Call center 2,20219.0
2020-01-24,Call center 1,5350.0
2020-01-24,Call center 2,17787.0
2020-01-25,Call center 1,14620.0
2020-01-26,Call center 1,7.0
2020-01-27,Call center 1,8356.0
2020-01-27,Call center 2,22405.0
2020-01-28,Call center 3,1.0
2020-01-28,Call center 1,6212.0
2020-01-28,Call center 2,19509.0
2020-01-29,Call center 1,6381.0
2020-01-29,Call center 2,20785.0
2020-01-30,Call center 2,19969.0
2020-01-30,Call center 1,6109.0
2020-01-31,Call center 3,1.0
2020-01-31,Call center 1,5324.0
2020-01-31,Call center 2,18677.0
2020-02-01,Call center 1,15450.0
2020-02-01,Call center 2,2.0
2020-02-02,Call center 3,1.0
2020-02-02,Call center 1,2.0
2020-02-03,Call center 1,7786.0
2020-02-03,Call center 2,20293.0
2020-02-04,Call center 3,1.0
2020-02-04,Call center 1,6097.0
2020-02-04,Call center 2,18131.0
2020-02-05,Call center 1,6599.0
2020-02-05,Call center 3,1.0
2020-02-05,Call center 2,19297.0
2020-02-06,Call center 2,21862.0
2020-02-06,Call center 1,3871.0
2020-02-07,Call center 1,6210.0
2020-02-07,Call center 2,17871.0
2020-02-08,Call center 1,15483.0
2020-02-09,Call center 1,8.0
2020-02-10,Call center 1,7862.0
2020-02-10,Call center 2,22758.0
2020-02-11,Call center 1,6903.0
2020-02-11,Call center 2,19706.0
2020-02-12,Call center 1,7503.0
2020-02-12,Call center 2,20662.0
2020-02-13,Call center 2,19580.0
2020-02-13,Call center 3,1.0
2020-02-13,Call center 1,6954.0
2020-02-14,Call center 2,17000.0
2020-02-14,Call center 1,6229.0
2020-02-15,Call center 3,2.0
2020-02-15,Call center 1,13050.0
2020-02-16,Call center 1,4.0
2020-02-17,Call center 1,7827.0
2020-02-17,Call center 2,22527.0
2020-02-18,Call center 1,6067.0
2020-02-18,Call center 2,18832.0
2020-02-19,Call center 1,7111.0
2020-02-19,Call center 2,20531.0
2020-02-20,Call center 1,6728.0
2020-02-20,Call center 2,17889.0
2020-02-21,Call center 1,5544.0
2020-02-21,Call center 3,1.0
2020-02-21,Call center 2,16526.0
2020-02-22,Call center 2,8.0
2020-02-22,Call center 1,12697.0
2020-02-23,Call center 1,10.0
2020-02-24,Call center 1,26786.0
2020-02-24,Call center 3,2.0
2020-02-25,Call center 1,23809.0
2020-02-26,Call center 3,3.0
2020-02-26,Call center 1,27906.0
2020-02-27,Call center 1,7128.0
2020-02-27,Call center 2,21806.0
2020-02-28,Call center 1,6105.0
2020-02-28,Call center 2,17616.0
2020-02-29,Call center 1,12810.0
2020-02-29,Call center 2,15.0
2020-03-01,Call center 1,4.0
2020-03-02,Call center 1,8616.0
2020-03-02,Call center 2,23091.0
2020-03-03,Call center 1,6231.0
2020-03-03,Call center 2,18461.0
2020-03-04,Call center 2,20170.0
2020-03-04,Call center 1,6821.0
2020-03-05,Call center 1,6770.0
2020-03-05,Call center 2,19687.0
2020-03-06,Call center 1,5603.0
2020-03-06,Call center 2,17517.0
2020-03-07,Call center 1,14270.0
2020-03-07,Call center 2,10.0
2020-03-08,Call center 1,13.0
2020-03-09,Call center 1,7888.0
2020-03-09,Call center 2,19859.0
2020-03-10,Call center 1,6105.0
2020-03-10,Call center 2,17887.0
2020-03-11,Call center 1,6239.0
2020-03-11,Call center 2,18951.0
2020-03-12,Call center 1,6050.0
2020-03-12,Call center 2,16746.0
2020-03-12,Call center 3,1.0
2020-03-13,Call center 2,14678.0
2020-03-13,Call center 3,1.0
2020-03-13,Call center 1,4991.0
2020-03-14,Call center 1,14431.0
2020-03-15,Call center 1,10.0
2020-03-16,Call center 1,8773.0
2020-03-16,Call center 2,19796.0
2020-03-17,Call center 1,6712.0
2020-03-17,Call center 2,18250.0
2020-03-18,Call center 2,18864.0
2020-03-18,Call center 1,7056.0
2020-03-18,Call center 3,1.0
2020-03-19,Call center 1,6793.0
2020-03-19,Call center 2,14531.0
2020-03-20,Call center 1,4581.0
2020-03-20,Call center 2,14164.0
2020-03-21,Call center 1,11760.0
2020-03-22,Call center 1,2.0
2020-03-23,Call center 2,22865.0
2020-03-23,Call center 1,7726.0
2020-03-24,Call center 1,7775.0
2020-03-24,Call center 2,21947.0
2020-03-25,Call center 1,8013.0
2020-03-25,Call center 2,20505.0
2020-03-26,Call center 1,8117.0
2020-03-26,Call center 2,22273.0
2020-03-27,Call center 3,1.0
2020-03-27,Call center 1,7321.0
2020-03-27,Call center 2,20299.0
2020-03-28,Call center 1,12358.0
2020-03-28,Call center 2,2.0
2020-03-29,Call center 1,4.0
2020-03-30,Call center 2,18015.0
2020-03-30,Call center 1,9626.0
2020-03-31,Call center 2,16310.0
2020-03-31,Call center 1,8706.0
2020-04-01,Call center 1,8679.0
2020-04-01,Call center 2,16673.0
2020-04-02,Call center 1,9940.0
2020-04-02,Call center 2,17797.0
2020-04-03,Call center 1,8564.0
2020-04-03,Call center 2,14589.0
2020-04-04,Call center 1,9689.0
2020-04-04,Call center 2,27.0
2020-04-05,Call center 1,15.0
2020-04-06,Call center 1,8647.0
2020-04-06,Call center 2,14384.0
2020-04-07,Call center 1,8113.0
2020-04-07,Call center 2,13269.0
2020-04-08,Call center 3,0.0
2020-04-08,Call center 1,8124.0
2020-04-08,Call center 2,13891.0
2020-04-09,Call center 2,13230.0
2020-04-09,Call center 1,7664.0
2020-04-10,Call center 3,0.0
2020-04-10,Call center 1,8056.0
2020-04-10,Call center 2,13463.0
2020-04-11,Call center 1,9222.0
2020-04-11,Call center 2,4.0
2020-04-12,Call center 1,5.0
2020-04-14,Call center 1,15147.0
2020-04-14,Call center 2,20309.0
2020-04-15,Call center 1,9477.0
2020-04-15,Call center 2,18096.0
2020-04-16,Call center 1,9201.0
2020-04-16,Call center 2,15198.0
2020-04-17,Call center 3,0.0
2020-04-17,Call center 1,8016.0
2020-04-17,Call center 2,14644.0
2020-04-18,Call center 2,14.0
2020-04-18,Call center 1,11281.0
2020-04-19,Call center 1,7.0
2020-04-20,Call center 1,11696.0
2020-04-20,Call center 2,16912.0
2020-04-21,Call center 1,7572.0
2020-04-21,Call center 2,14779.0
2020-04-22,Call center 1,8830.0
2020-04-22,Call center 2,16348.0
2020-04-23,Call center 1,9190.0
2020-04-23,Call center 2,16854.0
2020-04-24,Call center 1,8159.0
2020-04-24,Call center 2,14784.0
2020-04-25,Call center 1,10747.0
2020-04-25,Call center 2,18.0
2020-04-26,Call center 1,7.0
2020-04-27,Call center 2,17546.0
2020-04-27,Call center 1,10966.0
2020-04-27,Call center 3,0.0
2020-04-28,Call center 1,8379.0
2020-04-28,Call center 2,14846.0
2020-04-29,Call center 1,8945.0
2020-04-29,Call center 2,16653.0
2020-04-30,Call center 1,9023.0
2020-04-30,Call center 2,17006.0
2020-05-01,Call center 2,35.0
2020-05-02,Call center 1,13004.0
2020-05-03,Call center 1,10.0
2020-05-04,Call center 1,11222.0
2020-05-04,Call center 2,19036.0
2020-05-05,Call center 3,1.0
2020-05-05,Call center 2,21038.0
2020-05-05,Call center 1,10559.0
2020-05-06,Call center 2,20029.0
2020-05-06,Call center 1,11171.0
2020-05-07,Call center 1,12170.0
2020-05-07,Call center 2,21677.0
2020-05-08,Call center 1,4.0
2020-05-08,Call center 2,51.0
2020-05-09,Call center 1,16677.0
2020-05-10,Call center 1,7.0
2020-05-11,Call center 1,17930.0
2020-05-11,Call center 2,32122.0
2020-05-12,Call center 1,16219.0
2020-05-12,Call center 2,28694.0
2020-05-13,Call center 1,16092.0
2020-05-13,Call center 2,27765.0
2020-05-14,Call center 1,15160.0
2020-05-14,Call center 2,25042.0
2020-05-15,Call center 2,20760.0
2020-05-15,Call center 1,12786.0
2020-05-16,Call center 1,12170.0
2020-05-16,Call center 2,28.0
2020-05-17,Call center 1,19.0
2020-05-18,Call center 1,14844.0
2020-05-18,Call center 2,25441.0
2020-05-19,Call center 2,21668.0
2020-05-19,Call center 3,0.0
2020-05-19,Call center 1,11799.0
2020-05-20,Call center 3,0.0
2020-05-20,Call center 1,11872.0
2020-05-20,Call center 2,22092.0
2020-05-21,Call center 2,50.0
2020-05-22,Call center 1,14642.0
2020-05-22,Call center 2,23296.0
2020-05-22,Call center 3,3.0
2020-05-23,Call center 2,29.0
2020-05-23,Call center 1,13835.0
2020-05-24,Call center 1,13.0
2020-05-25,Call center 1,21031.0
2020-05-25,Call center 2,36608.0
2020-05-26,Call center 3,0.0
2020-05-26,Call center 1,17070.0
2020-05-26,Call center 2,31014.0
2020-05-27,Call center 1,17322.0
2020-05-27,Call center 2,29158.0
2020-05-28,Call center 3,0.0
2020-05-28,Call center 1,16411.0
2020-05-28,Call center 2,27358.0
2020-05-29,Call center 1,12137.0
2020-05-29,Call center 2,23835.0
2020-05-30,Call center 1,13916.0
2020-05-30,Call center 2,27.0
2020-05-31,Call center 1,18.0
2020-06-02,Call center 1,21606.0
2020-06-02,Call center 2,33557.0
2020-06-03,Call center 1,14505.0
2020-06-03,Call center 2,25778.0
2020-06-04,Call center 1,13437.0
2020-06-04,Call center 2,24624.0
2020-06-05,Call center 1,11806.0
2020-06-05,Call center 2,19730.0
2020-06-06,Call center 3,0.0
2020-06-06,Call center 1,13375.0
2020-06-06,Call center 2,61.0
2020-06-07,Call center 1,20.0
2020-06-08,Call center 1,14249.0
2020-06-08,Call center 2,25818.0
2020-06-09,Call center 1,11863.0
2020-06-09,Call center 2,22311.0
2020-06-09,Call center 3,0.0
2020-06-10,Call center 3,0.0
2020-06-10,Call center 1,35576.0
2020-06-10,Call center 2,94.0
2020-06-11,Call center 1,11713.0
2020-06-11,Call center 2,22562.0
2020-06-12,Call center 3,0.0
2020-06-12,Call center 1,11376.0
2020-06-12,Call center 2,21565.0
2020-06-13,Call center 1,13900.0
2020-06-13,Call center 2,66.0
2020-06-14,Call center 1,9.0
2020-06-15,Call center 1,15562.0
2020-06-15,Call center 2,27173.0
2020-06-16,Call center 2,22810.0
2020-06-16,Call center 1,11722.0
2020-06-16,Call center 3,0.0
2020-06-17,Call center 1,12229.0
2020-06-17,Call center 2,23703.0
2020-06-18,Call center 3,0.0
2020-06-18,Call center 1,12013.0
2020-06-18,Call center 2,21833.0
2020-06-19,Call center 3,0.0
2020-06-19,Call center 1,10799.0
2020-06-19,Call center 2,19777.0
2020-06-20,Call center 1,11788.0
2020-06-20,Call center 2,45.0
