week,corn_price
2017-06-25,3.85892
2017-07-02,3.80534
2017-07-09,4.0034
2017-07-16,4.002
2017-07-23,3.9495
2017-07-30,3.8705
2017-08-06,3.803
2017-08-13,3.8065
2017-08-20,3.6815
2017-08-27,3.5745
2017-09-03,3.5125
2017-09-10,3.569
2017-09-17,3.5425
2017-09-24,3.507
2017-10-01,3.53
